#NB L'errore va considerato all'ultima cifra significativa

#Theta	I[uA]	
161	0.02 	
162 	0.02 	
163 	0.03 	
164 	0.04 	
165 	0.05 	
166 	0.07 	
167 	0.13 	
168 	0.18 	
169 	0.28 	
170 	0.48 	
171 	0.73 	
172 	1.07 	
173 	1.54 	
174 	2.06 	
175 	2.71 	
176 	3.50 	
177 	4.22 	
178 	4.74 	
179 	5.13 	
180   	5.19    
181   	5.14    
182  	4.74    
183   	4.19    
184   	3.47    
185   	2.77    
186   	2.11    
187   	1.55    
188   	1.07    
189   	0.74    
190   	0.47      
191   	0.28    
192   	0.18    
193   	0.13   
194   	0.07    
195   	0.05    
196   	0.03    
197   	0.03    
198   	0.02    
    

