#NB L'errore va considerato all'ultima cifra significativa

#Theta	I[uA]	
140 	0.09 
142 	0.11 
144 	0.14 
146 	0.16
148 	0.22 
150 	0.25 
151 	0.30 
152 	0.34 
153 	0.39 
154 	0.43 
155 	0.50 
156 	0.56 
157 	0.62 
158 	0.62 
159 	0.83 
160 	0.92 
161 	1.03 
162 	1.18 
163 	1.29 
164 	1.52 
165 	1.91 
166 	2.07 
167 	2.09 
168 	2.41 
169 	2.76 
170 	2.95 
171 	3.23 
172 	3.43 
173 	3.85 
174 	4.06 
175 	4.21 
176 	4.30 
177 	4.77 
178 	4.85 
179 	4.76 
180 	5.20 
181 	4.91 
182 	4.84 
183 	5.11 
184 	4.86 
185 	5.37 
186 	4.67 
187 	4.85 
188 	4.58 
189 	4.44 
190 	4.08 
191 	3.99 
192 	3.72 
193 	3.46 
194 	3.17 
195 	2.93 
196 	2.66 
197 	2.40 
198 	2.10 
199 	1.98 
200 	1.81 
201 	1.51 
202 	1.37 
203 	1.26 
204 	1.13 
205 	0.95 
206 	0.90 
207 	0.75 
208 	0.64 
209 	0.61 
210 	0.51 
212 	0.42 
214 	0.31 
216 	0.23 
218 	0.19 
220 	0.16 
