#NB L'errore sulla potenza va considerato all'ultima cifra significativa

#I[mA]	dI	P[uW]

77.2	0.1	4240
75.2	0.1	3840
73.1	0.1	3470
71.0	0.1	3020
69.3	0.1	2675
67.0	0.1	2198
65.3	0.1	1870
63.3	0.1	1449
61.1	0.1	1073
60.2	0.1	816
59.3	0.1	627
58.0	0.1	356
57.0	0.1	178.5
56.0	0.1	102.1
55.1	0.1	78.0
53.8	0.1	62.4
52.0	0.1	54.4
50.9	0.1	45.6
49.5	0.1	40.9
48.4	0.1	37.8
46.1	0.1	32.9
43.6	0.1	28.5
39.9	0.1	23.43
36.6	0.1	19.82
33.2	0.1	16.70
30.8	0.1	14.70
27.4	0.1	12.35
24.9	0.1	10.75
