#NB L'errore sulla potenza va considerato all'ultima cifra significativa

#I[mA]		P[uW]      dP

77.2		4240      212
75.2		3840      192
73.1		3470      173.5
71.0		3020      151
69.3		2675      133.75
67.0		2198      109.5
65.3		1870      93.5
63.3		1449      72.4
61.1		1073      53.6
60.2		816       40.8
59.3		627       31.35
58.0		356       17.8
57.0		178.5     8.9
56.0		102.1     5.1
55.1		78.0      3.9
53.8		62.4      3.1
52.0		54.4      2.7
50.9		45.6      2.3
49.5		40.9      2.0
48.4		37.8      1.89
46.1		32.9      1.645
43.6		28.5      1.42
39.9		23.43     1.17
36.6		19.82     0.95
33.2		16.70     0.83
30.8		14.70     0.735
27.4		12.35     0.6
24.9		10.75     0.53
