#Tempo(s)	Intensità (Un. Arb.)

0	2.765273000000001
0.046875	2.77748
0.046875	2.765273000000001
0.078125	2.77748
0.078125	2.765273000000001
0.09375	2.77748
0.09375	2.765273000000001
0.09375	2.77748
0.109375	2.765273000000001
0.109375	2.77748
0.125	2.765273000000001
0.125	2.77748
0.125	2.77748
0.140625	2.77748
0.140625	2.765273000000001
0.15625	2.789687
0.15625	2.765273000000001
0.171875	2.789687
0.171875	2.765273000000001
0.171875	2.789687
0.1875	2.765273000000001
0.203125	2.77748
0.21875	2.765273000000001
0.21875	2.77748
0.234375	2.765273000000001
0.234375	2.77748
0.25	2.765273000000001
0.25	2.77748
0.265625	2.765273000000001
0.265625	2.765273000000001
0.28125	2.765273000000001
0.296875	2.765273000000001
0.3125	2.77748
0.3125	2.77748
0.328125	2.765273000000001
0.328125	2.77748
0.34375	2.765273000000001
0.359375	2.765273000000001
0.375	2.765273000000001
0.375	2.765273000000001
0.390625	2.77748
0.390625	2.765273000000001
0.40625	2.77748
0.40625	2.765273000000001
0.421875	2.765273000000001
0.4375	2.765273000000001
0.453125	2.77748
0.453125	2.77748
0.46875	2.77748
0.46875	2.77748
0.484375	2.77748
0.5	2.77748
0.515625	2.789687
0.515625	2.765273000000001
0.53125	2.789687
0.53125	2.77748
0.546875	2.789687
0.546875	2.77748
0.5625	2.789687
0.578125	2.789687
0.59375	2.801895
0.59375	2.789687
0.609375	2.801895
0.609375	2.789687
0.625	2.801895
0.625	2.789687
0.65625	2.801895
0.65625	2.789687
0.671875	2.814102
0.671875	2.789687
0.6875	2.826309
0.6875	2.789687
0.703125	2.814102
0.71875	2.801895
0.734375	2.814102
0.734375	2.801895
0.75	2.826309
0.75	2.801895
0.765625	2.826309
0.765625	2.814102
0.796875	2.838516
0.796875	2.814102
0.8125	2.850723
0.8125	2.826309
0.828125	2.850723
0.828125	2.826309
0.84375	2.86293
0.859375	2.826309
0.875	2.86293
0.875	2.838516
0.890625	2.875137
0.890625	2.838516
0.90625	2.86293
0.90625	2.838516
0.921875	2.875137
0.9375	2.850723
0.953125	2.887344
0.953125	2.850723
0.96875	2.875137
0.96875	2.86293
0.984375	2.887344
1	2.875137
1.015625	2.899551
1.015625	2.875137
1.03125	2.911758
1.03125	2.875137
1.046875	2.911758
1.046875	2.875137
1.0625	2.911758
1.078125	2.899551
1.09375	2.923965
1.09375	2.899551
1.109375	2.923965
1.109375	2.899551
1.125	2.936172
1.125	2.923965
1.140625	2.936172
1.15625	2.923965
1.171875	2.936172
1.171875	2.936172
1.1875	2.960586
1.1875	2.923965
1.203125	2.960586
1.21875	2.936172
1.234375	2.960586
1.234375	2.948379000000001
1.25	2.960586
1.265625	2.948379000000001
