3/10/2021 9:44:58 AM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
183.109   52.435
183.118   52.196
183.128   52.009
183.138   51.359
183.147   51.142
183.157   50.382
183.167   50.740
183.177   51.382
183.186   49.867
183.196   49.430
183.206   49.716
183.215   49.172
183.225   48.415
183.235   49.782
183.245   49.470
183.254   48.994
183.264   49.143
183.274   48.044
183.284   47.893
183.293   47.417
183.303   48.158
183.313   47.636
183.322   46.901
183.332   47.102
183.342   46.363
183.352   46.534
183.361   45.306
183.371   45.803
183.381   44.961
183.390   45.112
183.400   44.993
183.410   45.214
183.420   43.945
183.429   43.451
183.439   44.053
183.449   43.284
183.459   43.949
183.468   43.021
183.478   42.482
183.488   43.017
183.497   43.110
183.507   41.916
183.517   42.518
183.527   42.606
183.536   41.785
183.546   41.453
183.556   41.129
183.566   39.801
183.575   40.301
183.585   39.741
183.595   38.577
183.604   38.489
183.614   38.574
183.624   39.109
183.634   38.728
183.643   38.516
183.653   38.171
183.663   37.010
183.672   38.062
183.682   36.445
183.692   36.696
183.702   35.512
183.711   37.111
183.721   35.826
183.731   34.999
183.741   34.386
183.750   32.861
183.760   34.119
183.770   33.885
183.779   33.462
183.789   32.574
183.799   33.601
183.809   32.555
183.818   31.080
183.828   31.709
183.838   30.637
183.847   31.672
183.857   30.935
183.867   30.109
183.877   29.880
183.886   29.451
183.896   28.272
183.906   28.980
183.916   27.631
183.925   26.955
183.935   27.530
183.945   27.379
183.954   25.465
183.964   25.425
183.974   25.676
183.984   25.206
183.993   23.771
184.003   24.409
184.013   23.371
184.023   22.956
184.032   21.525
184.042   21.468
184.052   20.969
184.061   21.072
184.071   20.661
184.081   19.188
184.091   18.604
184.100   18.070
184.110   18.051
184.120   18.657
184.129   16.515
184.139   15.684
184.149   16.084
184.159   15.291
184.168   14.527
184.178   13.776
184.188   14.067
184.198   13.230
184.207   12.742
184.217   11.891
184.227   10.977
184.236   11.098
184.246   10.341
184.256   9.882
184.266   10.173
184.275   9.784
184.285   9.024
184.295   8.130
184.304   7.995
184.314   7.183
184.324   6.356
184.334   6.106
184.343   6.077
184.353   5.693
184.363   5.032
184.373   5.482
184.382   5.449
184.392   4.085
184.402   4.490
184.411   3.395
184.421   2.963
184.431   3.111
184.441   2.417
184.450   2.031
184.460   2.324
184.470   1.666
184.480   1.053
184.489   0.923
184.499   1.010
184.509   1.122
184.518   1.086
184.528   0.129
184.538   -0.019
184.548   0.439
184.557   -0.108
184.567   0.064
184.577   0.034
184.586   -0.091
184.596   0.019
184.606   -0.036
184.616   -0.021
184.625   0.046
184.635   0.156
184.645   -0.091
184.655   -0.062
184.664   -0.246
184.674   0.032
184.684   0.038
184.693   -0.065
184.703   -0.003
184.713   0.180
184.723   0.076
184.732   0.235
184.742   0.075
184.752   0.034
184.761   -0.060
184.771   0.117
184.781   0.068
184.791   0.215
184.800   -0.053
184.810   0.386
184.820   0.090
184.830   0.748
184.839   1.143
184.849   0.783
184.859   1.048
184.868   1.067
184.878   1.294
184.888   1.403
184.898   1.626
184.907   1.760
184.917   2.215
184.927   2.625
184.937   2.204
184.946   2.333
184.956   3.246
184.966   3.020
184.975   3.691
184.985   3.337
184.995   3.936
185.005   4.035
185.014   4.416
185.024   4.093
185.034   4.770
185.043   4.837
185.053   5.273
185.063   5.400
185.073   5.573
185.082   5.755
185.092   6.182
185.102   6.850
185.112   6.586
185.121   6.856
185.131   7.278
185.141   7.420
185.150   7.656
185.160   7.830
185.170   8.140
185.180   8.252
185.189   8.507
185.199   8.792
185.209   9.074
185.218   9.464
185.228   9.550
185.238   9.500
185.248   10.088
185.257   10.138
185.267   10.759
185.277   10.671
185.287   10.967
185.296   10.916
185.306   11.324
185.316   11.665
185.325   12.128
185.335   12.187
185.345   12.193
185.355   12.457
185.364   12.819
185.374   12.918
185.384   13.343
185.394   13.500
185.403   13.410
185.413   13.948
185.423   14.269
185.432   14.515
185.442   14.738
185.452   14.552
185.462   15.050
185.471   15.271
185.481   15.436
185.491   15.649
185.500   16.068
185.510   15.927
185.520   16.254
185.530   16.326
185.539   16.772
185.549   16.979
185.559   16.909
185.569   17.246
185.578   17.516
185.588   17.675
185.598   17.851
185.607   18.320
185.617   18.266
185.627   18.397
185.637   18.719
185.646   18.887
185.656   19.108
185.666   19.116
185.676   19.390
185.685   19.638
185.695   19.580
185.705   19.777
185.714   20.297
185.724   20.283
185.734   20.304
185.744   20.672
185.753   20.752
185.763   20.860
185.773   21.126
185.782   21.385
185.792   21.606
185.802   21.637
185.812   21.900
185.821   21.995
185.831   22.213
185.841   22.245
185.851   22.600
185.860   22.671
185.870   22.885
185.880   22.953
185.889   23.135
185.899   23.437
185.909   23.379
185.919   23.640
185.928   23.842
185.938   23.957
185.948   24.261
185.957   24.377
185.967   24.538
185.977   24.700
185.987   24.742
185.996   24.885
186.006   24.944
186.016   25.123
186.026   25.263
186.035   25.589
186.045   25.553
186.055   25.685
186.064   26.036
186.074   26.108
186.084   26.197
186.094   26.343
186.103   26.471
186.113   26.716
186.123   26.742
186.133   26.818
186.142   27.080
186.152   27.132
186.162   27.291
186.171   27.545
186.181   27.499
186.191   27.500
186.201   27.696
186.210   27.970
186.220   28.073
186.230   28.262
186.239   28.512
186.249   28.564
186.259   28.520
186.269   28.655
186.278   28.700
186.288   28.722
186.298   29.156
186.308   29.244
186.317   29.399
186.327   29.399
186.337   29.449
186.346   29.615
186.356   29.789
186.366   30.062
186.376   30.121
186.385   30.138
186.395   30.275
186.405   30.285
186.414   30.607
186.424   30.526
186.434   30.786
186.444   30.787
186.453   30.846
186.463   31.220
186.473   31.322
186.483   31.397
186.492   31.542
186.502   31.553
186.512   31.671
186.521   31.862
186.531   31.971
186.541   31.921
186.551   32.180
186.560   32.314
186.570   32.350
186.580   32.431
186.590   32.471
186.599   32.604
186.609   32.737
186.619   32.813
186.628   32.976
186.638   32.947
186.648   33.099
186.658   33.307
186.667   33.412
186.677   33.638
186.687   33.658
186.696   33.718
186.706   33.860
186.716   33.868
186.726   34.121
186.735   33.975
186.745   34.127
186.755   34.428
186.765   34.550
186.774   34.609
186.784   34.682
186.794   34.854
186.803   34.991
186.813   35.001
186.823   35.236
186.833   35.264
186.842   35.321
186.852   35.579
186.862   35.634
186.871   35.637
186.881   35.832
186.891   35.792
186.901   36.109
186.910   36.071
186.920   36.254
186.930   36.371
186.940   36.609
186.949   36.559
186.959   36.774
186.969   36.870
186.978   36.935
186.988   37.070
186.998   37.195
187.008   37.341
187.017   37.425
187.027   37.451
187.037   37.736
187.047   37.878
187.056   37.849
187.066   38.049
187.076   38.143
187.085   38.326
187.095   38.488
187.105   38.714
187.115   38.757
187.124   38.852
187.134   38.968
187.144   39.167
187.153   39.350
187.163   39.497
187.173   39.682
187.183   39.813
187.192   39.886
187.202   40.125
187.212   40.312
187.222   40.496
187.231   40.629
187.241   40.822
187.251   40.988
187.260   41.197
187.270   41.467
187.280   41.655
187.290   41.792
187.299   41.991
187.309   42.278
187.319   42.502
187.328   42.764
187.338   43.030
187.348   43.161
187.358   43.535
187.367   43.781
187.377   44.100
187.387   44.335
187.397   44.651
187.406   44.984
187.416   45.290
187.426   45.574
187.435   45.947
187.445   46.317
187.455   46.678
187.465   47.156
187.474   47.561
187.484   47.956
187.494   48.593
187.504   48.676
187.513   49.396
187.523   49.774
187.533   50.437
187.542   50.931
187.552   51.542
187.562   52.198
187.572   52.857
187.581   53.513
187.591   54.280
187.601   55.010
187.610   55.834
187.620   56.696
187.630   57.592
187.640   58.603
187.649   59.657
187.659   60.680
187.669   61.906
187.679   63.131
187.688   64.443
187.698   65.831
187.708   67.385
187.717   68.950
187.727   70.655
187.737   72.493
187.747   74.465
187.756   76.551
187.766   78.771
187.776   81.161
187.785   83.714
187.795   86.392
187.805   89.228
187.815   92.205
187.824   95.420
187.834   98.780
187.844   102.285
187.854   105.927
187.863   109.730
187.873   113.592
187.883   117.544
187.892   121.555
187.902   125.571
187.912   129.562
187.922   133.487
187.931   137.332
187.941   141.019
187.951   144.534
187.961   147.853
187.970   150.999
187.980   153.912
187.990   156.624
187.999   159.106
188.009   161.409
188.019   163.549
188.029   165.522
188.038   167.327
188.048   169.006
188.058   170.552
188.067   171.992
188.077   173.318
188.087   174.559
188.097   175.754
188.106   176.792
188.116   177.830
188.126   178.782
188.136   179.636
188.145   -179.576
188.155   -178.800
188.165   -178.028
188.174   -177.343
188.184   -176.686
188.194   -176.036
188.204   -175.415
188.213   -174.890
188.223   -174.378
188.233   -173.847
188.243   -173.343
188.252   -172.919
188.262   -172.433
188.272   -172.009
188.281   -171.586
188.291   -171.240
188.301   -170.891
188.311   -170.502
188.320   -170.239
188.330   -169.803
188.340   -169.519
188.349   -169.162
188.359   -168.886
188.369   -168.652
188.379   -168.336
188.388   -168.133
188.398   -167.928
188.408   -167.550
188.418   -167.409
188.427   -167.141
188.437   -166.864
188.447   -166.707
188.456   -166.541
188.466   -166.303
188.476   -166.114
188.486   -165.919
188.495   -165.693
188.505   -165.505
188.515   -165.375
188.524   -165.213
188.534   -165.038
188.544   -164.930
188.554   -164.765
188.563   -164.615
188.573   -164.566
188.583   -164.325
188.593   -164.142
188.602   -164.099
188.612   -163.877
188.622   -163.704
188.631   -163.519
188.641   -163.506
188.651   -163.296
188.661   -163.233
188.670   -163.084
188.680   -162.996
188.690   -162.947
188.700   -162.767
188.709   -162.559
188.719   -162.589
188.729   -162.503
188.738   -162.444
188.748   -162.128
188.758   -162.117
188.768   -162.071
188.777   -161.995
188.787   -161.845
188.797   -161.724
188.806   -161.541
188.816   -161.569
188.826   -161.436
188.836   -161.307
188.845   -161.203
188.855   -161.105
188.865   -161.146
188.875   -160.999
188.884   -160.851
188.894   -160.983
188.904   -160.800
188.913   -160.692
188.923   -160.540
188.933   -160.497
188.943   -160.550
188.952   -160.192
188.962   -160.235
188.972   -160.132
188.981   -160.119
188.991   -160.113
189.001   -159.953
189.011   -159.880
189.020   -159.666
189.030   -159.881
189.040   -159.537
189.050   -159.646
189.059   -159.571
189.069   -159.488
189.079   -159.319
189.088   -159.291
189.098   -159.207
189.108   -159.095
189.118   -159.127
189.127   -158.999
189.137   -158.996
189.147   -158.890
189.157   -158.915
189.166   -158.667
189.176   -158.708
189.186   -158.550
189.195   -158.474
189.205   -158.433
189.215   -158.304
189.225   -158.290
189.234   -158.182
189.244   -158.326
189.254   -158.023
189.263   -158.129
189.273   -158.180
189.283   -157.919
189.293   -158.084
189.302   -157.852
189.312   -157.817
189.322   -157.745
189.332   -157.533
189.341   -157.687
189.351   -157.549
189.361   -157.590
189.370   -157.675
189.380   -157.523
189.390   -157.200
189.400   -157.434
189.409   -157.097
189.419   -157.199
189.429   -157.136
189.438   -157.077
189.448   -156.848
189.458   -156.916
189.468   -156.913
189.477   -156.733
189.487   -156.846
189.497   -156.959
189.507   -156.695
