3/9/2021 6:29:12 PM
Series 1
-----------------------------------------------
Frequency (kHz)	RMS (V)
183.109   0.329
183.118   0.330
183.128   0.331
183.138   0.333
183.147   0.335
183.157   0.336
183.167   0.338
183.177   0.340
183.186   0.341
183.196   0.344
183.206   0.344
183.215   0.347
183.225   0.348
183.235   0.349
183.245   0.351
183.254   0.351
183.264   0.353
183.274   0.356
183.284   0.357
183.293   0.359
183.303   0.361
183.313   0.362
183.322   0.364
183.332   0.365
183.342   0.366
183.352   0.368
183.361   0.371
183.371   0.372
183.381   0.374
183.390   0.376
183.400   0.376
183.410   0.378
183.420   0.381
183.429   0.381
183.439   0.382
183.449   0.384
183.459   0.386
183.468   0.388
183.478   0.388
183.488   0.391
183.497   0.392
183.507   0.393
183.517   0.394
183.527   0.396
183.536   0.397
183.546   0.399
183.556   0.400
183.566   0.400
183.575   0.402
183.585   0.404
183.595   0.404
183.604   0.406
183.614   0.407
183.624   0.408
183.634   0.410
183.643   0.410
183.653   0.412
183.663   0.413
183.672   0.415
183.682   0.416
183.692   0.417
183.702   0.417
183.711   0.418
183.721   0.420
183.731   0.420
183.741   0.421
183.750   0.423
183.760   0.423
183.770   0.425
183.779   0.426
183.789   0.428
183.799   0.428
183.809   0.429
183.818   0.431
183.828   0.432
183.838   0.432
183.847   0.433
183.857   0.435
183.867   0.436
183.877   0.437
183.886   0.439
183.896   0.439
183.906   0.440
183.916   0.441
183.925   0.441
183.935   0.443
183.945   0.444
183.954   0.444
183.964   0.446
183.974   0.447
183.984   0.448
183.993   0.449
184.003   0.449
184.013   0.450
184.023   0.451
184.032   0.452
184.042   0.453
184.052   0.453
184.061   0.453
184.071   0.454
184.081   0.454
184.091   0.456
184.100   0.457
184.110   0.457
184.120   0.458
184.129   0.460
184.139   0.461
184.149   0.462
184.159   0.461
184.168   0.462
184.178   0.463
184.188   0.464
184.198   0.465
184.207   0.466
184.217   0.467
184.227   0.467
184.236   0.469
184.246   0.469
184.256   0.470
184.266   0.470
184.275   0.471
184.285   0.473
184.295   0.472
184.304   0.474
184.314   0.475
184.324   0.475
184.334   0.476
184.343   0.476
184.353   0.476
184.363   0.478
184.373   0.478
184.382   0.479
184.392   0.478
184.402   0.480
184.411   0.478
184.421   0.481
184.431   0.481
184.441   0.481
184.450   0.482
184.460   0.483
184.470   0.484
184.480   0.485
184.489   0.486
184.499   0.486
184.509   0.488
184.518   0.487
184.528   0.487
184.538   0.489
184.548   0.489
184.557   0.490
184.567   0.491
184.577   0.492
184.586   0.493
184.596   0.492
184.606   0.495
184.616   0.495
184.625   0.495
184.635   0.497
184.645   0.496
184.655   0.497
184.664   0.498
184.674   0.499
184.684   0.501
184.693   0.501
184.703   0.501
184.713   0.502
184.723   0.502
184.732   0.502
184.742   0.503
184.752   0.503
184.761   0.505
184.771   0.504
184.781   0.505
184.791   0.506
184.800   0.505
184.810   0.506
184.820   0.507
184.830   0.507
184.839   0.508
184.849   0.509
184.859   0.509
184.868   0.510
184.878   0.510
184.888   0.511
184.898   0.513
184.907   0.512
184.917   0.513
184.927   0.514
184.937   0.513
184.946   0.514
184.956   0.515
184.966   0.517
184.975   0.517
184.985   0.518
184.995   0.518
185.005   0.518
185.014   0.518
185.024   0.520
185.034   0.521
185.043   0.522
185.053   0.523
185.063   0.524
185.073   0.523
185.082   0.523
185.092   0.525
185.102   0.525
185.112   0.525
185.121   0.526
185.131   0.525
185.141   0.526
185.150   0.528
185.160   0.529
185.170   0.528
185.180   0.530
185.189   0.531
185.199   0.532
185.209   0.533
185.218   0.532
185.228   0.532
185.238   0.534
185.248   0.533
185.257   0.534
185.267   0.535
185.277   0.536
185.287   0.536
185.296   0.538
185.306   0.538
185.316   0.538
185.325   0.540
185.335   0.541
185.345   0.541
185.355   0.541
185.364   0.543
185.374   0.544
185.384   0.544
185.394   0.545
185.403   0.545
185.413   0.546
185.423   0.547
185.432   0.548
185.442   0.548
185.452   0.550
185.462   0.549
185.471   0.550
185.481   0.550
185.491   0.552
185.500   0.552
185.510   0.552
185.520   0.553
185.530   0.554
185.539   0.554
185.549   0.556
185.559   0.557
185.569   0.558
185.578   0.558
185.588   0.558
185.598   0.560
185.607   0.561
185.617   0.561
185.627   0.563
185.637   0.564
185.646   0.564
185.656   0.565
185.666   0.567
185.676   0.567
185.685   0.567
185.695   0.568
185.705   0.568
185.714   0.569
185.724   0.571
185.734   0.572
185.744   0.573
185.753   0.573
185.763   0.573
185.773   0.574
185.782   0.575
185.792   0.577
185.802   0.578
185.812   0.578
185.821   0.581
185.831   0.581
185.841   0.582
185.851   0.583
185.860   0.585
185.870   0.586
185.880   0.588
185.889   0.588
185.899   0.588
185.909   0.590
185.919   0.590
185.928   0.591
185.938   0.592
185.948   0.592
185.957   0.594
185.967   0.594
185.977   0.595
185.987   0.596
185.996   0.598
186.006   0.599
186.016   0.600
186.026   0.602
186.035   0.603
186.045   0.604
186.055   0.606
186.064   0.607
186.074   0.607
186.084   0.609
186.094   0.610
186.103   0.612
186.113   0.612
186.123   0.614
186.133   0.615
186.142   0.616
186.152   0.618
186.162   0.619
186.171   0.619
186.181   0.620
186.191   0.623
186.201   0.624
186.210   0.625
186.220   0.627
186.230   0.627
186.239   0.629
186.249   0.632
186.259   0.633
186.269   0.634
186.278   0.634
186.288   0.637
186.298   0.638
186.308   0.639
186.317   0.641
186.327   0.643
186.337   0.645
186.346   0.646
186.356   0.649
186.366   0.651
186.376   0.653
186.385   0.655
186.395   0.657
186.405   0.659
186.414   0.660
186.424   0.662
186.434   0.664
186.444   0.665
186.453   0.667
186.463   0.670
186.473   0.670
186.483   0.673
186.492   0.675
186.502   0.676
186.512   0.678
186.521   0.681
186.531   0.683
186.541   0.686
186.551   0.688
186.560   0.691
186.570   0.693
186.580   0.694
186.590   0.697
186.599   0.699
186.609   0.702
186.619   0.704
186.628   0.707
186.638   0.709
186.648   0.712
186.658   0.714
186.667   0.717
186.677   0.720
186.687   0.722
186.696   0.726
186.706   0.730
186.716   0.731
186.726   0.734
186.735   0.737
186.745   0.740
186.755   0.743
186.765   0.747
186.774   0.749
186.784   0.751
186.794   0.754
186.803   0.758
186.813   0.763
186.823   0.767
186.833   0.769
186.842   0.772
186.852   0.776
186.862   0.780
186.871   0.784
186.881   0.788
186.891   0.792
186.901   0.796
186.910   0.800
186.920   0.804
186.930   0.808
186.940   0.814
186.949   0.818
186.959   0.823
186.969   0.827
186.978   0.831
186.988   0.838
186.998   0.843
187.008   0.847
187.017   0.852
187.027   0.858
187.037   0.863
187.047   0.869
187.056   0.876
187.066   0.881
187.076   0.886
187.085   0.892
187.095   0.899
187.105   0.905
187.115   0.911
187.124   0.917
187.134   0.925
187.144   0.932
187.153   0.939
187.163   0.946
187.173   0.954
187.183   0.963
187.192   0.968
187.202   0.976
187.212   0.982
187.222   0.992
187.231   0.999
187.241   1.009
187.251   1.019
187.260   1.028
187.270   1.038
187.280   1.048
187.290   1.057
187.299   1.068
187.309   1.078
187.319   1.088
187.328   1.100
187.338   1.112
187.348   1.123
187.358   1.133
187.367   1.146
187.377   1.159
187.387   1.171
187.397   1.185
187.406   1.200
187.416   1.215
187.426   1.231
187.435   1.244
187.445   1.262
187.455   1.274
187.465   1.288
187.474   1.308
187.484   1.329
187.494   1.348
187.504   1.355
187.513   1.378
187.523   1.406
187.533   1.420
187.542   1.445
187.552   1.462
187.562   1.487
187.572   1.507
187.581   1.528
187.591   1.552
187.601   1.577
187.610   1.601
187.620   1.629
187.630   1.656
187.640   1.684
187.649   1.712
187.659   1.742
187.669   1.772
187.679   1.800
187.688   1.833
187.698   1.860
187.708   1.895
187.717   1.928
187.727   1.959
187.737   1.993
187.747   2.029
187.756   2.062
187.766   2.098
187.776   2.132
187.785   2.165
187.795   2.200
187.805   2.233
187.815   2.266
187.824   2.300
187.834   2.325
187.844   2.353
187.854   2.378
187.863   2.400
187.873   2.420
187.883   2.440
187.892   2.454
187.902   2.461
187.912   2.468
187.922   2.468
187.931   2.466
187.941   2.460
187.951   2.446
187.961   2.428
187.970   2.406
187.980   2.381
187.990   2.350
187.999   2.314
188.009   2.277
188.019   2.239
188.029   2.193
188.038   2.151
188.048   2.106
188.058   2.056
188.067   2.009
188.077   1.958
188.087   1.911
188.097   1.860
188.106   1.812
188.116   1.766
188.126   1.719
188.136   1.670
188.145   1.625
188.155   1.583
188.165   1.539
188.174   1.500
188.184   1.459
188.194   1.422
188.204   1.384
188.213   1.347
188.223   1.311
188.233   1.277
188.243   1.244
188.252   1.211
188.262   1.180
188.272   1.148
188.281   1.120
188.291   1.094
188.301   1.068
188.311   1.040
188.320   1.016
188.330   0.994
188.340   0.970
188.349   0.948
188.359   0.926
188.369   0.906
188.379   0.885
188.388   0.867
188.398   0.846
188.408   0.830
188.418   0.812
188.427   0.795
188.437   0.780
188.447   0.764
188.456   0.749
188.466   0.734
188.476   0.720
188.486   0.706
188.495   0.692
188.505   0.679
188.515   0.666
188.524   0.655
188.534   0.644
188.544   0.633
188.554   0.623
188.563   0.613
188.573   0.603
188.583   0.593
188.593   0.585
188.602   0.576
188.612   0.568
188.622   0.561
188.631   0.552
188.641   0.544
188.651   0.537
188.661   0.531
188.670   0.524
188.680   0.517
188.690   0.512
188.700   0.507
188.709   0.501
188.719   0.495
188.729   0.491
188.738   0.486
188.748   0.480
188.758   0.477
188.768   0.473
188.777   0.470
188.787   0.467
188.797   0.463
188.806   0.460
188.816   0.458
188.826   0.454
188.836   0.452
188.845   0.449
188.855   0.447
188.865   0.445
188.875   0.444
188.884   0.442
188.894   0.440
188.904   0.439
188.913   0.438
188.923   0.438
188.933   0.437
188.943   0.436
188.952   0.435
188.962   0.436
188.972   0.436
188.981   0.436
188.991   0.435
189.001   0.435
189.011   0.436
189.020   0.436
189.030   0.437
189.040   0.439
189.050   0.439
189.059   0.440
189.069   0.441
189.079   0.442
189.088   0.444
189.098   0.443
189.108   0.444
189.118   0.446
189.127   0.447
189.137   0.449
189.147   0.450
189.157   0.452
189.166   0.453
189.176   0.455
189.186   0.457
189.195   0.459
189.205   0.460
189.215   0.463
189.225   0.463
189.234   0.465
189.244   0.467
189.254   0.468
189.263   0.470
189.273   0.473
189.283   0.473
189.293   0.476
189.302   0.479
189.312   0.481
189.322   0.483
189.332   0.485
189.341   0.487
189.351   0.489
189.361   0.490
189.370   0.492
189.380   0.495
189.390   0.496
189.400   0.499
189.409   0.500
189.419   0.502
189.429   0.504
189.438   0.505
189.448   0.508
189.458   0.510
189.468   0.511
189.477   0.514
189.487   0.515
189.497   0.516
189.507   0.519
189.516   0.521
189.526   0.521
189.536   0.523
189.545   0.524
189.555   0.526
189.565   0.528
189.575   0.529
189.584   0.530
189.594   0.533
189.604   0.534
189.614   0.537
189.623   0.537
189.633   0.539
189.643   0.541
189.652   0.542
189.662   0.542
189.672   0.544
