3/9/2021 6:36:10 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
183.109   -107.093
183.118   -106.811
183.128   -106.527
183.138   -106.333
183.147   -106.089
183.157   -105.840
183.167   -105.613
183.177   -105.340
183.186   -105.037
183.196   -104.851
183.206   -104.386
183.215   -104.243
183.225   -104.039
183.235   -103.715
183.245   -103.495
183.254   -103.243
183.264   -102.949
183.274   -102.690
183.284   -102.338
183.293   -102.162
183.303   -101.863
183.313   -101.649
183.322   -101.339
183.332   -100.993
183.342   -100.766
183.352   -100.394
183.361   -100.095
183.371   -99.932
183.381   -99.599
183.390   -99.333
183.400   -99.003
183.410   -98.841
183.420   -98.473
183.429   -98.243
183.439   -97.944
183.449   -97.739
183.459   -97.222
183.468   -97.116
183.478   -96.674
183.488   -96.438
183.497   -96.111
183.507   -95.821
183.517   -95.625
183.527   -95.374
183.536   -94.895
183.546   -94.595
183.556   -94.410
183.566   -94.060
183.575   -93.754
183.585   -93.406
183.595   -93.261
183.604   -92.804
183.614   -92.527
183.624   -92.217
183.634   -91.868
183.643   -91.669
183.653   -91.343
183.663   -90.999
183.672   -90.725
183.682   -90.394
183.692   -90.317
183.702   -89.979
183.711   -89.782
183.721   -89.544
183.731   -89.184
183.741   -88.809
183.750   -88.595
183.760   -88.333
183.770   -88.120
183.779   -87.708
183.789   -87.448
183.799   -87.066
183.809   -86.736
183.818   -86.522
183.828   -86.180
183.838   -85.865
183.847   -85.563
183.857   -85.280
183.867   -85.033
183.877   -84.680
183.886   -84.400
183.896   -84.098
183.906   -83.784
183.916   -83.524
183.925   -83.261
183.935   -82.990
183.945   -82.559
183.954   -82.333
183.964   -82.115
183.974   -81.775
183.984   -81.423
183.993   -81.188
184.003   -80.919
184.013   -80.619
184.023   -80.349
184.032   -80.019
184.042   -79.709
184.052   -79.486
184.061   -79.134
184.071   -78.765
184.081   -78.569
184.091   -78.244
184.100   -78.026
184.110   -77.702
184.120   -77.368
184.129   -77.158
184.139   -76.858
184.149   -76.487
184.159   -76.288
184.168   -76.092
184.178   -75.680
184.188   -75.473
184.198   -75.208
184.207   -74.926
184.217   -74.617
184.227   -74.360
184.236   -74.074
184.246   -73.796
184.256   -73.625
184.266   -73.243
184.275   -73.095
184.285   -72.719
184.295   -72.459
184.304   -72.251
184.314   -72.046
184.324   -71.671
184.334   -71.470
184.343   -71.183
184.353   -70.986
184.363   -70.620
184.373   -70.342
184.382   -70.124
184.392   -69.961
184.402   -69.723
184.411   -69.356
184.421   -69.039
184.431   -68.801
184.441   -68.598
184.450   -68.395
184.460   -68.170
184.470   -67.826
184.480   -67.610
184.489   -67.367
184.499   -67.072
184.509   -66.868
184.518   -66.536
184.528   -66.426
184.538   -66.099
184.548   -65.897
184.557   -65.580
184.567   -65.447
184.577   -65.115
184.586   -64.808
184.596   -64.653
184.606   -64.356
184.616   -64.131
184.625   -63.882
184.635   -63.668
184.645   -63.424
184.655   -63.148
184.664   -62.973
184.674   -62.732
184.684   -62.472
184.693   -62.212
184.703   -61.937
184.713   -61.797
184.723   -61.594
184.732   -61.291
184.742   -61.014
184.752   -60.803
184.761   -60.496
184.771   -60.351
184.781   -60.168
184.791   -59.930
184.800   -59.759
184.810   -59.446
184.820   -59.282
184.830   -58.992
184.839   -58.865
184.849   -58.597
184.859   -58.409
184.868   -58.140
184.878   -57.895
184.888   -57.693
184.898   -57.429
184.907   -57.212
184.917   -56.950
184.927   -56.830
184.937   -56.609
184.946   -56.336
184.956   -56.166
184.966   -55.922
184.975   -55.677
184.985   -55.499
184.995   -55.348
185.005   -55.038
185.014   -54.814
185.024   -54.594
185.034   -54.435
185.043   -54.307
185.053   -53.947
185.063   -53.815
185.073   -53.678
185.082   -53.436
185.092   -53.131
185.102   -52.927
185.112   -52.692
185.121   -52.524
185.131   -52.385
185.141   -52.116
185.150   -51.881
185.160   -51.694
185.170   -51.625
185.180   -51.297
185.189   -51.109
185.199   -50.883
185.209   -50.675
185.218   -50.453
185.228   -50.287
185.238   -50.091
185.248   -49.902
185.257   -49.708
185.267   -49.513
185.277   -49.294
185.287   -49.093
185.296   -48.954
185.306   -48.724
185.316   -48.596
185.325   -48.331
185.335   -48.188
185.345   -47.923
185.355   -47.766
185.364   -47.572
185.374   -47.416
185.384   -47.164
185.394   -47.024
185.403   -46.744
185.413   -46.619
185.423   -46.341
185.432   -46.168
185.442   -45.990
185.452   -45.938
185.462   -45.706
185.471   -45.459
185.481   -45.158
185.491   -45.082
185.500   -44.896
185.510   -44.670
185.520   -44.554
185.530   -44.355
185.539   -44.174
185.549   -43.990
185.559   -43.785
185.569   -43.622
185.578   -43.385
185.588   -43.166
185.598   -43.072
185.607   -42.867
185.617   -42.677
185.627   -42.493
185.637   -42.280
185.646   -42.097
185.656   -41.975
185.666   -41.774
185.676   -41.600
185.685   -41.377
185.695   -41.243
185.705   -41.049
185.714   -40.860
185.724   -40.682
185.734   -40.548
185.744   -40.431
185.753   -40.224
185.763   -40.051
185.773   -39.877
185.782   -39.662
185.792   -39.521
185.802   -39.274
185.812   -39.165
185.821   -38.925
185.831   -38.832
185.841   -38.651
185.851   -38.357
185.860   -38.272
185.870   -38.125
185.880   -37.904
185.889   -37.786
185.899   -37.548
185.909   -37.316
185.919   -37.283
185.928   -37.071
185.938   -36.909
185.948   -36.812
185.957   -36.649
185.967   -36.369
185.977   -36.192
185.987   -36.121
185.996   -35.853
186.006   -35.733
186.016   -35.562
186.026   -35.324
186.035   -35.194
186.045   -35.044
186.055   -34.841
186.064   -34.712
186.074   -34.542
186.084   -34.389
186.094   -34.169
186.103   -34.042
186.113   -33.852
186.123   -33.761
186.133   -33.570
186.142   -33.345
186.152   -33.215
186.162   -33.066
186.171   -32.926
186.181   -32.683
186.191   -32.583
186.201   -32.456
186.210   -32.235
186.220   -32.147
186.230   -31.918
186.239   -31.821
186.249   -31.628
186.259   -31.499
186.269   -31.349
186.278   -31.221
186.288   -30.982
186.298   -30.881
186.308   -30.679
186.317   -30.547
186.327   -30.422
186.337   -30.301
186.346   -30.092
186.356   -29.905
186.366   -29.866
186.376   -29.628
186.385   -29.563
186.395   -29.350
186.405   -29.264
186.414   -29.083
186.424   -28.945
186.434   -28.837
186.444   -28.580
186.453   -28.490
186.463   -28.413
186.473   -28.200
186.483   -28.049
186.492   -27.886
186.502   -27.724
186.512   -27.662
186.521   -27.451
186.531   -27.326
186.541   -27.275
186.551   -27.027
186.560   -26.998
186.570   -26.756
186.580   -26.649
186.590   -26.580
186.599   -26.397
186.609   -26.236
186.619   -26.148
186.628   -25.997
186.638   -25.847
186.648   -25.748
186.658   -25.554
186.667   -25.409
186.677   -25.370
186.687   -25.153
186.696   -25.064
186.706   -24.850
186.716   -24.755
186.726   -24.586
186.735   -24.422
186.745   -24.361
186.755   -24.133
186.765   -24.020
186.774   -23.945
186.784   -23.734
186.794   -23.636
186.803   -23.524
186.813   -23.380
186.823   -23.211
186.833   -23.079
186.842   -22.914
186.852   -22.777
186.862   -22.640
186.871   -22.516
186.881   -22.401
186.891   -22.227
186.901   -22.045
186.910   -21.924
186.920   -21.777
186.930   -21.657
186.940   -21.529
186.949   -21.336
186.959   -21.211
186.969   -21.033
186.978   -20.909
186.988   -20.715
186.998   -20.599
187.008   -20.352
187.017   -20.219
187.027   -20.014
187.037   -19.885
187.047   -19.759
187.056   -19.602
187.066   -19.399
187.076   -19.218
187.085   -19.107
187.095   -18.895
187.105   -18.733
187.115   -18.531
187.124   -18.388
187.134   -18.194
187.144   -17.952
187.153   -17.784
187.163   -17.620
187.173   -17.405
187.183   -17.205
187.192   -16.971
187.202   -16.770
187.212   -16.581
187.222   -16.370
187.231   -16.140
187.241   -15.898
187.251   -15.676
187.260   -15.412
187.270   -15.168
187.280   -14.900
187.290   -14.728
187.299   -14.413
187.309   -14.155
187.319   -13.915
187.328   -13.581
187.338   -13.296
187.348   -13.011
187.358   -12.702
187.367   -12.375
187.377   -12.113
187.387   -11.761
187.397   -11.382
187.406   -11.041
187.416   -10.662
187.426   -10.296
187.435   -9.919
187.445   -9.502
187.455   -9.087
187.465   -8.697
187.474   -8.208
187.484   -7.801
187.494   -7.427
187.504   -6.681
187.513   -6.432
187.523   -5.724
187.533   -5.238
187.542   -4.624
187.552   -4.039
187.562   -3.428
187.572   -2.766
187.581   -2.099
187.591   -1.403
187.601   -0.685
187.610   0.024
187.620   0.786
187.630   1.647
187.640   2.499
187.649   3.385
187.659   4.360
187.669   5.354
187.679   6.363
187.688   7.442
187.698   8.576
187.708   9.734
187.717   10.972
187.727   12.249
187.737   13.601
187.747   15.000
187.756   16.459
187.766   17.976
187.776   19.553
187.785   21.209
187.795   22.928
187.805   24.695
187.815   26.561
187.824   28.469
187.834   30.462
187.844   32.495
187.854   34.565
187.863   36.751
187.873   38.951
187.883   41.210
187.892   43.512
187.902   45.814
187.912   48.163
187.922   50.529
187.931   52.905
187.941   55.258
187.951   57.611
187.961   59.925
187.970   62.253
187.980   64.487
187.990   66.701
