3/9/2021 6:24:08 PM
Series 1
-----------------------------------------------
Frequency (kHz)	RMS (V)
183.109   0.312
183.118   0.312
183.128   0.315
183.138   0.316
183.147   0.318
183.157   0.320
183.167   0.322
183.177   0.322
183.186   0.324
183.196   0.326
183.206   0.328
183.215   0.329
183.225   0.331
183.235   0.333
183.245   0.333
183.254   0.335
183.264   0.337
183.274   0.338
183.284   0.340
183.293   0.342
183.303   0.343
183.313   0.345
183.322   0.347
183.332   0.348
183.342   0.349
183.352   0.351
183.361   0.353
183.371   0.355
183.381   0.356
183.390   0.357
183.400   0.359
183.410   0.360
183.420   0.360
183.429   0.362
183.439   0.364
183.449   0.364
183.459   0.366
183.468   0.368
183.478   0.369
183.488   0.371
183.497   0.372
183.507   0.374
183.517   0.375
183.527   0.376
183.536   0.378
183.546   0.380
183.556   0.381
183.566   0.382
183.575   0.383
183.585   0.385
183.595   0.385
183.604   0.387
183.614   0.389
183.624   0.390
183.634   0.392
183.643   0.393
183.653   0.394
183.663   0.394
183.672   0.396
183.682   0.397
183.692   0.398
183.702   0.399
183.711   0.400
183.721   0.402
183.731   0.402
183.741   0.403
183.750   0.405
183.760   0.406
183.770   0.407
183.779   0.409
183.789   0.409
183.799   0.410
183.809   0.412
183.818   0.413
183.828   0.413
183.838   0.414
183.847   0.416
183.857   0.417
183.867   0.418
183.877   0.419
183.886   0.420
183.896   0.421
183.906   0.423
183.916   0.422
183.925   0.423
183.935   0.424
183.945   0.426
183.954   0.426
183.964   0.427
183.974   0.428
183.984   0.429
183.993   0.430
184.003   0.431
184.013   0.432
184.023   0.432
184.032   0.432
184.042   0.434
184.052   0.435
184.061   0.435
184.071   0.437
184.081   0.438
184.091   0.438
184.100   0.439
184.110   0.440
184.120   0.440
184.129   0.441
184.139   0.441
184.149   0.442
184.159   0.443
184.168   0.444
184.178   0.445
184.188   0.445
184.198   0.446
184.207   0.447
184.217   0.447
184.227   0.448
184.236   0.449
184.246   0.449
184.256   0.450
184.266   0.451
184.275   0.451
184.285   0.452
184.295   0.454
184.304   0.455
184.314   0.455
184.324   0.456
184.334   0.456
184.343   0.456
184.353   0.457
184.363   0.457
184.373   0.459
184.382   0.460
184.392   0.460
184.402   0.461
184.411   0.463
184.421   0.463
184.431   0.464
184.441   0.465
184.450   0.465
184.460   0.465
184.470   0.464
184.480   0.466
184.489   0.467
184.499   0.466
184.509   0.467
184.518   0.469
184.528   0.469
184.538   0.468
184.548   0.469
184.557   0.470
184.567   0.470
184.577   0.472
184.586   0.472
184.596   0.472
184.606   0.473
184.616   0.473
184.625   0.473
184.635   0.475
184.645   0.476
184.655   0.476
184.664   0.477
184.674   0.477
184.684   0.479
184.693   0.480
184.703   0.480
