3/9/2021 6:36:01 PM
Series 1
-----------------------------------------------
Frequency (kHz)	RMS (V)
183.109   0.323
183.118   0.324
183.128   0.325
183.138   0.327
183.147   0.329
183.157   0.330
183.167   0.332
183.177   0.334
183.186   0.335
183.196   0.337
183.206   0.338
183.215   0.340
183.225   0.342
183.235   0.343
183.245   0.343
183.254   0.346
183.264   0.348
183.274   0.350
183.284   0.352
183.293   0.353
183.303   0.354
183.313   0.356
183.322   0.358
183.332   0.359
183.342   0.360
183.352   0.361
183.361   0.363
183.371   0.364
183.381   0.366
183.390   0.368
183.400   0.370
183.410   0.371
183.420   0.373
183.429   0.374
183.439   0.374
183.449   0.377
183.459   0.378
183.468   0.379
183.478   0.381
183.488   0.382
183.497   0.384
183.507   0.385
183.517   0.386
183.527   0.389
183.536   0.389
183.546   0.392
183.556   0.392
183.566   0.394
183.575   0.394
183.585   0.396
183.595   0.397
183.604   0.399
183.614   0.401
183.624   0.400
183.634   0.401
183.643   0.403
183.653   0.404
183.663   0.406
183.672   0.407
183.682   0.409
183.692   0.409
183.702   0.411
183.711   0.411
183.721   0.413
183.731   0.414
183.741   0.415
183.750   0.417
183.760   0.418
183.770   0.420
183.779   0.421
183.789   0.421
183.799   0.422
183.809   0.424
183.818   0.425
183.828   0.426
183.838   0.426
183.847   0.428
183.857   0.429
183.867   0.431
183.877   0.431
183.886   0.431
183.896   0.433
183.906   0.435
183.916   0.435
183.925   0.436
183.935   0.437
183.945   0.438
183.954   0.439
183.964   0.439
183.974   0.441
183.984   0.442
183.993   0.443
184.003   0.444
184.013   0.445
184.023   0.445
184.032   0.446
184.042   0.447
184.052   0.448
184.061   0.449
184.071   0.450
184.081   0.451
184.091   0.452
184.100   0.453
184.110   0.453
184.120   0.455
184.129   0.455
184.139   0.456
184.149   0.457
184.159   0.457
184.168   0.459
184.178   0.460
184.188   0.461
184.198   0.461
184.207   0.462
184.217   0.463
184.227   0.465
184.236   0.465
184.246   0.465
184.256   0.466
184.266   0.466
184.275   0.467
184.285   0.468
184.295   0.469
184.304   0.469
184.314   0.470
184.324   0.471
184.334   0.472
184.343   0.471
184.353   0.473
184.363   0.473
184.373   0.475
184.382   0.474
184.392   0.474
184.402   0.477
