3/10/2021 10:48:01 AM
Series 1
-----------------------------------------------
μm	V
0.000   1.156
0.039   0.939
0.078   0.752
0.117   0.716
0.156   0.643
0.195   0.672
0.234   0.716
0.273   0.768
0.313   0.820
0.352   0.820
0.391   0.872
0.430   0.869
0.469   0.937
0.508   0.923
0.547   0.965
0.586   0.926
0.625   0.982
0.664   0.958
0.703   1.024
0.742   1.019
0.781   1.067
0.820   1.060
0.859   1.101
0.898   1.140
0.938   1.192
0.977   1.228
1.016   1.263
1.055   1.308
1.094   1.319
1.133   1.381
1.172   1.407
1.211   1.502
1.250   1.561
1.289   1.660
1.328   1.738
1.367   1.781
1.406   1.588
1.445   1.355
1.484   1.221
1.523   1.132
1.563   1.087
1.602   0.990
1.641   0.781
1.680   0.801
1.719   0.827
1.758   0.927
1.797   0.959
1.836   1.045
1.875   1.077
1.914   1.134
1.953   1.107
1.992   1.172
2.031   1.160
2.070   1.086
2.109   1.069
2.148   1.023
2.188   1.055
2.227   0.999
2.266   1.048
2.305   0.693
2.344   0.558
2.383   0.430
2.422   0.532
2.461   0.458
2.500   0.551
2.539   0.545
2.578   0.649
2.617   0.678
2.656   0.737
2.695   0.768
2.734   0.782
2.773   0.830
2.813   0.810
2.852   0.897
2.891   0.879
2.930   0.962
2.969   0.920
3.008   1.031
3.047   0.955
3.086   1.077
3.125   0.971
3.164   1.113
3.203   1.093
3.242   1.223
3.281   1.218
3.320   1.311
3.359   1.308
3.398   1.398
3.438   1.429
3.477   1.459
3.516   1.570
3.555   1.677
3.594   1.760
3.633   1.441
3.672   1.308
3.711   1.162
3.750   0.825
3.789   0.529
3.828   0.588
3.867   0.582
3.906   0.598
3.945   0.567
3.984   0.605
4.023   0.703
4.063   0.799
4.102   0.868
4.141   0.880
4.180   0.892
4.219   0.925
4.258   1.020
4.297   1.059
4.336   1.073
4.375   1.080
4.414   1.100
4.453   1.138
4.492   1.194
4.531   1.216
4.570   1.286
4.609   1.338
4.648   1.434
4.688   1.568
4.727   1.611
4.766   1.412
4.805   1.258
4.844   1.130
4.883   1.104
4.922   0.957
4.961   0.747
5.000   0.620
5.039   0.590
5.078   0.546
5.117   0.645
5.156   0.745
5.195   0.833
5.234   0.895
5.273   0.941
5.313   0.982
5.352   0.972
5.391   1.029
5.430   0.998
5.469   1.036
5.508   1.062
5.547   1.194
5.586   1.278
5.625   1.394
5.664   1.439
5.703   1.465
5.742   1.421
5.781   1.272
5.820   1.155
5.859   1.070
5.898   1.036
5.938   0.578
5.977   0.487
6.016   0.509
6.055   0.529
6.094   0.567
6.133   0.548
6.172   0.542
6.211   0.623
6.250   0.657
6.289   0.670
6.328   0.702
6.367   0.755
6.406   0.787
6.445   0.835
6.484   0.811
6.523   0.864
6.563   0.891
6.602   0.948
6.641   1.018
6.680   1.046
6.719   1.038
6.758   1.056
6.797   1.059
6.836   1.101
6.875   1.132
6.914   1.154
6.953   1.177
6.992   1.222
7.031   1.314
7.070   1.362
7.109   1.406
7.148   1.451
7.188   1.508
7.227   1.571
7.266   1.606
7.305   1.638
7.344   1.570
7.383   1.315
7.422   1.195
7.461   1.123
7.500   1.080
7.539   1.040
7.578   1.038
7.617   1.029
7.656   1.033
7.695   1.044
7.734   1.017
7.773   1.012
7.813   0.985
7.852   1.006
7.891   0.990
7.930   1.020
7.969   0.991
8.008   1.032
8.047   0.988
8.086   1.032
8.125   0.833
8.164   0.595
8.203   0.477
8.242   0.481
8.281   0.495
8.320   0.500
8.359   0.478
8.398   0.513
8.438   0.555
8.477   0.627
8.516   0.692
8.555   0.701
8.594   0.755
8.633   0.762
8.672   0.806
8.711   0.785
8.750   0.796
8.789   0.831
8.828   0.890
8.867   0.883
8.906   0.891
8.945   0.862
8.984   0.940
9.023   0.965
9.063   1.014
9.102   1.017
9.141   1.038
9.180   1.051
9.219   1.106
9.258   1.096
9.297   1.126
9.336   1.132
9.375   1.175
9.414   1.240
9.453   1.313
9.492   1.347
9.531   1.402
9.570   1.446
9.609   1.463
9.648   1.518
9.688   1.544
9.727   1.559
9.766   1.556
9.805   1.587
9.844   1.594
9.883   1.455
9.922   1.286
9.961   1.152
10.000   1.152



