3/11/2021 4:38:58 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
183.109   49.809
183.118   49.422
183.128   49.702
183.138   49.637
183.147   49.208
183.157   49.567
183.167   48.418
183.177   48.844
183.186   48.523
183.196   47.901
183.206   47.200
183.215   48.756
183.225   47.682
183.235   46.861
183.245   46.516
183.254   46.931
183.264   46.326
183.274   46.298
183.284   46.216
183.293   46.121
183.303   46.103
183.313   45.693
183.322   45.496
183.332   45.033
183.342   45.453
183.352   45.265
183.361   45.406
183.371   45.210
183.381   44.724
183.390   44.671
183.400   43.741
183.410   44.552
183.420   44.183
183.429   43.908
183.439   44.155
183.449   43.580
183.459   43.384
183.468   43.598
183.478   43.741
183.488   42.981
183.497   42.971
183.507   43.140
183.517   42.814
183.527   42.703
183.536   42.390
183.546   42.540
183.556   42.065
183.566   42.200
183.575   42.146
183.585   41.414
183.595   41.491
183.604   41.353
183.614   41.585
183.624   41.459
183.634   40.966
183.643   40.898
183.653   41.633
183.663   41.174
183.672   40.597
183.682   40.933
183.692   40.958
183.702   40.701
183.711   40.350
183.721   40.546
183.731   39.667
183.741   39.761
183.750   40.388
183.760   40.338
183.770   39.560
183.779   39.654
183.789   40.169
183.799   39.981
183.809   39.226
183.818   39.622
183.828   39.232
183.838   39.509
183.847   39.232
183.857   39.503
183.867   38.773
183.877   39.100
183.886   39.139
183.896   39.161
183.906   38.727
183.916   38.871
183.925   38.930
183.935   38.841
183.945   39.094
183.954   38.292
183.964   38.149
183.974   38.049
183.984   38.396
183.993   38.665
184.003   38.302
184.013   38.261
184.023   37.821
184.032   37.751
184.042   37.497
184.052   38.389
184.061   37.450
184.071   38.043
184.081   37.480
184.091   37.662
184.100   37.397
184.110   37.612
184.120   37.559
184.129   37.828
184.139   37.517
184.149   37.679
184.159   37.939
184.168   37.119
184.178   37.586
184.188   37.551
184.198   37.289
184.207   37.117
184.217   37.482
184.227   37.142
184.236   37.073
184.246   36.327
184.256   37.170
184.266   36.972
184.275   36.413
184.285   36.668
184.295   36.688
184.304   37.237
184.314   37.038
184.324   36.362
184.334   36.483
184.343   36.669
184.353   36.840
184.363   36.187
