3/12/2021 4:29:56 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
182.913   79.385
182.922   79.901
182.932   79.371
182.942   78.443
182.951   78.704
182.961   78.462
182.971   78.257
182.981   78.198
182.990   78.175
183.000   77.816
183.010   77.500
183.019   77.639
183.029   77.136
183.039   77.281
183.049   76.366
183.058   76.332
183.068   76.383
183.078   76.324
183.088   75.713
183.097   76.017
183.107   75.302
183.117   75.544
183.126   75.418
183.136   75.143
183.146   75.227
183.156   74.913
183.165   75.161
183.175   74.684
183.185   74.291
183.194   74.085
183.204   74.061
183.214   73.968
183.224   73.664
183.233   73.685
183.243   73.413
183.253   73.542
183.263   73.407
183.272   73.491
183.282   72.894
183.292   72.892
183.301   72.912
183.311   72.844
183.321   72.365
183.331   72.224
183.340   72.512
183.350   72.467
183.360   72.193
183.370   71.944
183.379   71.695
183.389   71.342
183.399   71.482
183.408   71.671
183.418   70.889
183.428   71.416
183.438   71.025
183.447   71.193
183.457   71.055
183.467   70.911
183.476   70.982
183.486   70.452
183.496   70.507
183.506   70.468
183.515   70.551
183.525   70.227
183.535   70.283
183.545   70.183
183.554   70.259
183.564   70.668
183.574   70.134
183.583   69.526
183.593   70.427
183.603   70.129
183.613   69.820
183.622   70.067
183.632   70.094
183.642   69.976
183.651   69.929
183.661   69.732
183.671   69.813
183.681   69.585
183.690   69.651
183.700   69.919
183.710   69.687
183.720   69.143
183.729   69.406
183.739   69.342
183.749   69.246
183.758   69.517
183.768   69.270
183.778   69.373
183.788   69.090
183.797   69.776
183.807   69.011
183.817   69.089
183.827   69.180
183.836   69.557
183.846   69.220
183.856   69.468
183.865   69.225
183.875   69.348
183.885   69.687
183.895   68.931
183.904   69.534
183.914   69.479
183.924   69.368
183.933   69.360
183.943   69.235
183.953   69.336
183.963   69.332
183.972   69.458
183.982   69.569
183.992   69.665
184.002   69.616
184.011   69.744
184.021   69.646
184.031   69.509
184.040   69.701
184.050   69.564
184.060   69.726
184.070   69.901
184.079   69.429
184.089   69.928
184.099   69.877
184.108   69.960
184.118   70.286
184.128   70.133
184.138   70.158
184.147   70.154
184.157   70.297
184.167   69.909
184.177   70.222
184.186   70.211
184.196   70.432
184.206   70.444
184.215   70.395
184.225   70.396
184.235   70.592
184.245   70.479
184.254   70.664
184.264   70.876
184.274   70.701
