3/12/2021 4:57:56 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
182.913   75.794
182.922   75.507
182.932   75.400
182.942   75.646
182.951   75.593
182.961   74.887
182.971   75.165
182.981   74.663
182.990   74.893
183.000   74.706
183.010   73.873
183.019   74.212
183.029   74.050
183.039   73.834
183.049   73.711
183.058   73.089
183.068   73.207
183.078   73.607
183.088   73.015
183.097   73.142
183.107   72.832
183.117   72.945
183.126   72.269
183.136   72.598
183.146   72.213
183.156   72.036
183.165   72.063
183.175   71.511
183.185   71.512
183.194   71.847
183.204   70.890
183.214   71.423
183.224   70.569
183.233   71.120
183.243   70.932
183.253   70.700
183.263   70.678
183.272   70.607
183.282   70.782
183.292   70.238
183.301   70.398
183.311   70.116
183.321   70.029
183.331   70.242
183.340   69.698
183.350   69.931
183.360   69.941
183.370   69.752
183.379   69.778
183.389   69.489
183.399   69.631
183.408   69.059
183.418   69.540
183.428   69.570
183.438   68.797
183.447   69.077
183.457   69.106
183.467   68.965
183.476   69.171
183.486   68.916
183.496   68.808
183.506   68.669
183.515   68.980
183.525   68.834
183.535   68.943
183.545   68.577
183.554   68.370
183.564   68.560
183.574   68.676
183.583   68.567
183.593   68.275
183.603   68.249
183.613   68.388
183.622   68.516
183.632   68.155
183.642   68.426
183.651   68.135
183.661   68.331
183.671   68.086
183.681   68.564
183.690   68.147
183.700   68.204
183.710   68.058
183.720   68.348
183.729   68.058
183.739   68.137
183.749   68.299
183.758   68.216
183.768   68.148
183.778   68.021
183.788   68.474
183.797   68.121
183.807   68.333
183.817   68.016
183.827   68.295
183.836   68.481
183.846   68.112
183.856   68.405
183.865   68.586
183.875   68.221
183.885   68.432
183.895   68.346
183.904   68.518
183.914   68.413
183.924   68.619
183.933   68.407
183.943   68.627
183.953   68.831
183.963   68.617
183.972   68.783
183.982   68.876
183.992   68.677
184.002   68.905
184.011   68.835
184.021   68.637
184.031   69.371
184.040   69.186
184.050   68.992
184.060   69.099
184.070   69.234
184.079   69.220
184.089   69.251
184.099   69.335
184.108   69.351
184.118   69.300
184.128   69.437
184.138   69.568
184.147   69.375
184.157   69.927
184.167   69.797
184.177   69.921
184.186   69.696
184.196   70.330
184.206   69.970
184.215   70.061
184.225   70.200
184.235   70.133
184.245   70.391
184.254   70.663
184.264   70.556
184.274   70.291
184.284   70.594
184.293   70.614
184.303   70.584
